Run,age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,medium,Organism,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,Strain,Tissue
SRR7619150,3-5 days old,RNA-Seq,125,1403803625,PRJNA483441,SAMN09738660,667790136,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483514,GSM3310670,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310670,female,DGRP Line 100 Female,SRP155726,DGRP_100,Whole flies
SRR7619151,3-5 days old,RNA-Seq,125,1951989125,PRJNA483441,SAMN09738659,915741859,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483515,GSM3310671,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310671,female,DGRP Line 100 Female,SRP155726,DGRP_100,Whole flies
SRR7619152,3-5 days old,RNA-Seq,125,2078245750,PRJNA483441,SAMN09738658,961542831,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483516,GSM3310672,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310672,male,DGRP Line 100 Male,SRP155726,DGRP_100,Whole flies
SRR7619154,3-5 days old,RNA-Seq,125,1281441750,PRJNA483441,SAMN09738657,580717823,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483517,GSM3310673,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310673,male,DGRP Line 100 Male,SRP155726,DGRP_100,Whole flies
SRR7619158,3-5 days old,RNA-Seq,125,1538738000,PRJNA483441,SAMN09738705,702694424,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483520,GSM3310676,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310676,male,DGRP Line 101 Male,SRP155726,DGRP_101,Whole flies
SRR7619163,3-5 days old,RNA-Seq,125,2066124500,PRJNA483441,SAMN09738702,972823613,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483523,GSM3310679,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310679,female,DGRP Line 105 Female,SRP155726,DGRP_105,Whole flies
SRR7619169,3-5 days old,RNA-Seq,125,1840227625,PRJNA483441,SAMN09738698,890364938,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483527,GSM3310683,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310683,female,DGRP Line 109 Female,SRP155726,DGRP_109,Whole flies
SRR7619172,3-5 days old,RNA-Seq,125,1783279875,PRJNA483441,SAMN09738695,898976366,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483530,GSM3310686,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310686,female,DGRP Line 129 Female,SRP155726,DGRP_129,Whole flies
SRR7619176,3-5 days old,RNA-Seq,125,2278860125,PRJNA483441,SAMN09738691,1045816155,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483534,GSM3310690,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310690,female,DGRP Line 136 Female,SRP155726,DGRP_136,Whole flies
SRR7619178,3-5 days old,RNA-Seq,125,2735798250,PRJNA483441,SAMN09738689,1376157545,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4483536,GSM3310692,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,cornmeal-molasses-agar,Drosophila melanogaster,ILLUMINA,2019-10-29T00:00:00Z,GSM3310692,male,DGRP Line 136 Male,SRP155726,DGRP_136,Whole flies
