sample_name,source_name,Strain,sex,age
DGRP_Line_100_Female_SAMN09738660,DGRP Line 100 Female,DGRP_100,female,3-5 days old
DGRP_Line_100_Female_SAMN09738659,DGRP Line 100 Female,DGRP_100,female,3-5 days old
DGRP_Line_100_Male_SAMN09738658,DGRP Line 100 Male,DGRP_100,male,3-5 days old
DGRP_Line_100_Male_SAMN09738657,DGRP Line 100 Male,DGRP_100,male,3-5 days old
DGRP_Line_101_Male_SAMN09738705,DGRP Line 101 Male,DGRP_101,male,3-5 days old
DGRP_Line_105_Female_SAMN09738702,DGRP Line 105 Female,DGRP_105,female,3-5 days old
DGRP_Line_109_Female_SAMN09738698,DGRP Line 109 Female,DGRP_109,female,3-5 days old
DGRP_Line_129_Female_SAMN09738695,DGRP Line 129 Female,DGRP_129,female,3-5 days old
DGRP_Line_136_Female_SAMN09738691,DGRP Line 136 Female,DGRP_136,female,3-5 days old
DGRP_Line_136_Male_SAMN09738689,DGRP Line 136 Male,DGRP_136,male,3-5 days old
DGRP_Line_138_Female_SAMN09738687,DGRP Line 138 Female,DGRP_138,female,3-5 days old
DGRP_Line_149_Male_SAMN09738723,DGRP Line 149 Male,DGRP_149,male,3-5 days old
DGRP_Line_153_Female_SAMN09738721,DGRP Line 153 Female,DGRP_153,female,3-5 days old
DGRP_Line_153_Male_SAMN09738720,DGRP Line 153 Male,DGRP_153,male,3-5 days old
DGRP_Line_158_Female_SAMN09738718,DGRP Line 158 Female,DGRP_158,female,3-5 days old
DGRP_Line_158_Male_SAMN09738716,DGRP Line 158 Male,DGRP_158,male,3-5 days old
DGRP_Line_176_Female_SAMN09738709,DGRP Line 176 Female,DGRP_176,female,3-5 days old
DGRP_Line_176_Male_SAMN09738708,DGRP Line 176 Male,DGRP_176,male,3-5 days old
DGRP_Line_177_Male_SAMN09738753,DGRP Line 177 Male,DGRP_177,male,3-5 days old
DGRP_Line_181_Female_SAMN09738752,DGRP Line 181 Female,DGRP_181,female,3-5 days old
DGRP_Line_181_Male_SAMN09738441,DGRP Line 181 Male,DGRP_181,male,3-5 days old
DGRP_Line_189_Female_SAMN09738439,DGRP Line 189 Female,DGRP_189,female,3-5 days old
DGRP_Line_195_Female_SAMN09738436,DGRP Line 195 Female,DGRP_195,female,3-5 days old
DGRP_Line_195_Male_SAMN09738682,DGRP Line 195 Male,DGRP_195,male,3-5 days old
DGRP_Line_208_Male_SAMN09738679,DGRP Line 208 Male,DGRP_208,male,3-5 days old
DGRP_Line_217_Male_SAMN09738671,DGRP Line 217 Male,DGRP_217,male,3-5 days old
DGRP_Line_223_Female_SAMN09738669,DGRP Line 223 Female,DGRP_223,female,3-5 days old
DGRP_Line_223_Female_SAMN09738668,DGRP Line 223 Female,DGRP_223,female,3-5 days old
DGRP_Line_223_Male_SAMN09738666,DGRP Line 223 Male,DGRP_223,male,3-5 days old
DGRP_Line_227_Female_SAMN09738664,DGRP Line 227 Female,DGRP_227,female,3-5 days old
DGRP_Line_228_Female_SAMN09738661,DGRP Line 228 Female,DGRP_228,female,3-5 days old
DGRP_Line_228_Male_SAMN09738394,DGRP Line 228 Male,DGRP_228,male,3-5 days old
DGRP_Line_229_Male_SAMN09738389,DGRP Line 229 Male,DGRP_229,male,3-5 days old
DGRP_Line_233_Male_SAMN09738385,DGRP Line 233 Male,DGRP_233,male,3-5 days old
DGRP_Line_237_Female_SAMN09738432,DGRP Line 237 Female,DGRP_237,female,3-5 days old
DGRP_Line_237_Male_SAMN09738430,DGRP Line 237 Male,DGRP_237,male,3-5 days old
DGRP_Line_239_Female_SAMN09738429,DGRP Line 239 Female,DGRP_239,female,3-5 days old
DGRP_Line_256_Female_SAMN09738425,DGRP Line 256 Female,DGRP_256,female,3-5 days old
DGRP_Line_26_Male_SAMN09738419,DGRP Line 26 Male,DGRP_26,male,3-5 days old
DGRP_Line_28_Female_SAMN09738357,DGRP Line 28 Female,DGRP_28,female,3-5 days old
DGRP_Line_28_Male_SAMN09738355,DGRP Line 28 Male,DGRP_28,male,3-5 days old
DGRP_Line_287_Male_SAMN09738346,DGRP Line 287 Male,DGRP_287,male,3-5 days old
DGRP_Line_301_Male_SAMN09738342,DGRP Line 301 Male,DGRP_301,male,3-5 days old
DGRP_Line_303_Female_SAMN09738340,DGRP Line 303 Female,DGRP_303,female,3-5 days old
DGRP_Line_303_Male_SAMN09738339,DGRP Line 303 Male,DGRP_303,male,3-5 days old
DGRP_Line_304_Male_SAMN09738335,DGRP Line 304 Male,DGRP_304,male,3-5 days old
DGRP_Line_310_Female_SAMN09738369,DGRP Line 310 Female,DGRP_310,female,3-5 days old
DGRP_Line_310_Male_SAMN09738367,DGRP Line 310 Male,DGRP_310,male,3-5 days old
DGRP_Line_310_Male_SAMN09738366,DGRP Line 310 Male,DGRP_310,male,3-5 days old
DGRP_Line_313_Male_SAMN09738362,DGRP Line 313 Male,DGRP_313,male,3-5 days old
DGRP_Line_315_Female_SAMN09738409,DGRP Line 315 Female,DGRP_315,female,3-5 days old
DGRP_Line_315_Male_SAMN09738408,DGRP Line 315 Male,DGRP_315,male,3-5 days old
DGRP_Line_315_Male_SAMN09738407,DGRP Line 315 Male,DGRP_315,male,3-5 days old
DGRP_Line_317_Female_SAMN09738406,DGRP Line 317 Female,DGRP_317,female,3-5 days old
DGRP_Line_317_Male_SAMN09738404,DGRP Line 317 Male,DGRP_317,male,3-5 days old
DGRP_Line_317_Male_SAMN09738403,DGRP Line 317 Male,DGRP_317,male,3-5 days old
DGRP_Line_318_Male_SAMN09738399,DGRP Line 318 Male,DGRP_318,male,3-5 days old
DGRP_Line_319_Female_SAMN09738398,DGRP Line 319 Female,DGRP_319,female,3-5 days old
DGRP_Line_32_Female_SAMN09738417,DGRP Line 32 Female,DGRP_32,female,3-5 days old
DGRP_Line_320_Female_SAMN09738413,DGRP Line 320 Female,DGRP_320,female,3-5 days old
DGRP_Line_320_Female_SAMN09738412,DGRP Line 320 Female,DGRP_320,female,3-5 days old
DGRP_Line_320_Male_SAMN09738411,DGRP Line 320 Male,DGRP_320,male,3-5 days old
DGRP_Line_320_Male_SAMN09738410,DGRP Line 320 Male,DGRP_320,male,3-5 days old
