sample_name,BioSample,Assay.Type,LibraryLayout,LibrarySource,LibrarySelection,Instrument,sex,age,medium,Strain,Tissue,Experiment,Run
DGRP_Line_101_Male_SAMN09738705,SAMN09738705,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_101,Whole flies,SRX4483520,SRR7619158
DGRP_Line_105_Female_SAMN09738702,SAMN09738702,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_105,Whole flies,SRX4483523,SRR7619163
DGRP_Line_109_Female_SAMN09738698,SAMN09738698,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_109,Whole flies,SRX4483527,SRR7619169
DGRP_Line_129_Female_SAMN09738695,SAMN09738695,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_129,Whole flies,SRX4483530,SRR7619172
DGRP_Line_136_Female_SAMN09738691,SAMN09738691,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_136,Whole flies,SRX4483534,SRR7619176
DGRP_Line_136_Male_SAMN09738689,SAMN09738689,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_136,Whole flies,SRX4483536,SRR7619178
DGRP_Line_138_Female_SAMN09738687,SAMN09738687,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_138,Whole flies,SRX4483538,SRR7619180
DGRP_Line_149_Male_SAMN09738723,SAMN09738723,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_149,Whole flies,SRX4483549,SRR7619193
DGRP_Line_153_Female_SAMN09738721,SAMN09738721,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,female,3-5 days old,cornmeal-molasses-agar,DGRP_153,Whole flies,SRX4483551,SRR7619195
DGRP_Line_153_Male_SAMN09738720,SAMN09738720,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,Illumina HiSeq 2500,male,3-5 days old,cornmeal-molasses-agar,DGRP_153,Whole flies,SRX4483552,SRR7619196
